Postcode;Plaatsnaam;Deelgemeente;Provincie
1982;Elewijt;Ja;Vlaams-Brabant
1982;Weerde;Ja;Vlaams-Brabant
2000;ANTWERPEN;Neen;Antwerpen
2018;ANTWERPEN;Neen;Antwerpen
2020;ANTWERPEN;Neen;Antwerpen
2030;ANTWERPEN;Neen;Antwerpen
2040;ANTWERPEN;Neen;Antwerpen
2040;Berendrecht;Ja;Antwerpen
2040;Lillo;Ja;Antwerpen
2040;Zandvliet;Ja;Antwerpen
2050;ANTWERPEN;Neen;Antwerpen
2060;ANTWERPEN;Neen;Antwerpen
2070;Burcht;Ja;Antwerpen
2070;ZWIJNDRECHT;Neen;Antwerpen
2075;CSM Antwerpen X;;
2099;Antwerpen X;;
2100;Deurne;Ja;Antwerpen
2110;WIJNEGEM;Neen;Antwerpen
2140;Borgerhout;Ja;Antwerpen
2150;BORSBEEK;Neen;Antwerpen
2160;WOMMELGEM;Neen;Antwerpen
2170;Merksem;Ja;Antwerpen
2180;Ekeren;Ja;Antwerpen
2200;HERENTALS;Neen;Antwerpen
2200;Morkhoven;Ja;Antwerpen
2200;Noorderwijk;Ja;Antwerpen
2220;Hallaar;Ja;Antwerpen
2220;HEIST-OP-DEN-BERG;Neen;Antwerpen
2221;Booischot;Ja;Antwerpen
2222;Itegem;Ja;Antwerpen
2222;Wiekevorst;Ja;Antwerpen
2223;Schriek;Ja;Antwerpen
2230;HERSELT;Neen;Antwerpen
2230;Ramsel;Ja;Antwerpen
2235;Houtvenne;Ja;Antwerpen
2235;HULSHOUT;Neen;Antwerpen
2235;Westmeerbeek;Ja;Antwerpen
2240;Massenhoven;Ja;Antwerpen
2240;Viersel;Ja;Antwerpen
2240;ZANDHOVEN;Neen;Antwerpen
2242;Pulderbos;Ja;Antwerpen
2243;Pulle;Ja;Antwerpen
2250;OLEN;Neen;Antwerpen
2260;Oevel;Ja;Antwerpen
2260;Tongerlo;Ja;Antwerpen
2260;WESTERLO;Neen;Antwerpen
2260;Zoerle-Parwijs;Ja;Antwerpen
2270;HERENTHOUT;Neen;Antwerpen
2275;Gierle;Ja;Antwerpen
2275;LILLE;Neen;Antwerpen
2275;Poederlee;Ja;Antwerpen
2275;Wechelderzande;Ja;Antwerpen
2280;GROBBENDONK;Neen;Antwerpen
2288;Bouwel;Ja;Antwerpen
2290;VORSELAAR;Neen;Antwerpen
2300;TURNHOUT;Neen;Antwerpen
2310;RIJKEVORSEL;Neen;Antwerpen
2320;HOOGSTRATEN;Neen;Antwerpen
2321;Meer;Ja;Antwerpen
2322;Minderhout;Ja;Antwerpen
2323;Wortel;Ja;Antwerpen
2328;Meerle;Ja;Antwerpen
2330;MERKSPLAS;Neen;Antwerpen
2340;BEERSE;Neen;Antwerpen
2340;Vlimmeren;Ja;Antwerpen
2350;VOSSELAAR;Neen;Antwerpen
2360;OUD-TURNHOUT;Neen;Antwerpen
2370;ARENDONK;Neen;Antwerpen
2380;RAVELS;Neen;Antwerpen
2381;Weelde;Ja;Antwerpen
2382;Poppel;Ja;Antwerpen
2387;BAARLE-HERTOG;Neen;Antwerpen
2390;MALLE;Neen;Antwerpen
2390;Oostmalle;Ja;Antwerpen
2390;Westmalle;Ja;Antwerpen
2400;MOL;Neen;Antwerpen
2430;Eindhout;Ja;Antwerpen
2430;LAAKDAL;Neen;Antwerpen
2430;Vorst;Ja;Antwerpen
2431;Varendonk;Ja;Antwerpen
2431;Veerle;Ja;Antwerpen
2440;GEEL;Neen;Antwerpen
2450;MEERHOUT;Neen;Antwerpen
2460;KASTERLEE;Neen;Antwerpen
2460;Lichtaart;Ja;Antwerpen
2460;Tielen;Ja;Antwerpen
2470;RETIE;Neen;Antwerpen
2480;DESSEL;Neen;Antwerpen
2490;BALEN;Neen;Antwerpen
2491;Olmen;Ja;Antwerpen
2500;Koningshooikt;Ja;Antwerpen
2500;LIER;Neen;Antwerpen
2520;Broechem;Ja;Antwerpen
2520;Emblem;Ja;Antwerpen
2520;Oelegem;Ja;Antwerpen
2520;RANST;Neen;Antwerpen
2530;BOECHOUT;Neen;Antwerpen
2531;Vremde;Ja;Antwerpen
2540;HOVE;Neen;Antwerpen
2547;LINT;Neen;Antwerpen
2550;KONTICH;Neen;Antwerpen
2550;Waarloos;Ja;Antwerpen
2560;Bevel;Ja;Antwerpen
2560;Kessel;Ja;Antwerpen
2560;NIJLEN;Neen;Antwerpen
2570;DUFFEL;Neen;Antwerpen
2580;Beerzel;Ja;Antwerpen
2580;PUTTE;Neen;Antwerpen
2590;BERLAAR;Neen;Antwerpen
2590;Gestel;Ja;Antwerpen
2600;Berchem;Ja;Antwerpen
2610;Wilrijk;Ja;Antwerpen
2620;HEMIKSEM;Neen;Antwerpen
2627;SCHELLE;Neen;Antwerpen
2630;AARTSELAAR;Neen;Antwerpen
2640;MORTSEL;Neen;Antwerpen
2650;EDEGEM;Neen;Antwerpen
2660;Hoboken;Ja;Antwerpen
2800;MECHELEN;Neen;Antwerpen
2800;Walem;Ja;Antwerpen
2801;Heffen;Ja;Antwerpen
2811;Hombeek;Ja;Antwerpen
2811;Leest;Ja;Antwerpen
2812;Muizen;Ja;Antwerpen
2820;BONHEIDEN;Neen;Antwerpen
2820;Rijmenam;Ja;Antwerpen
2830;Blaasveld;Ja;Antwerpen
2830;Heindonk;Ja;Antwerpen
2830;Tisselt;Ja;Antwerpen
2830;WILLEBROEK;Neen;Antwerpen
2840;Reet;Ja;Antwerpen
2840;RUMST;Neen;Antwerpen
2840;Terhagen;Ja;Antwerpen
2845;NIEL;Neen;Antwerpen
2850;BOOM;Neen;Antwerpen
2860;SINT-KATELIJNE-WAVER;Neen;Antwerpen
2861;Onze-Lieve-Vrouw-Waver;Ja;Antwerpen
2870;Breendonk;Ja;Antwerpen
2870;Liezele;Ja;Antwerpen
2870;PUURS;Neen;Antwerpen
2870;Ruisbroek;Ja;Antwerpen
2880;BORNEM;Neen;Antwerpen
2880;Hingene;Ja;Antwerpen
2880;Mariekerke;Ja;Antwerpen
2880;Weert;Ja;Antwerpen
2890;Lippelo;Ja;Antwerpen
2890;Oppuurs;Ja;Antwerpen
2890;SINT-AMANDS;Neen;Antwerpen
2900;SCHOTEN;Neen;Antwerpen
2910;ESSEN;Neen;Antwerpen
2920;KALMTHOUT;Neen;Antwerpen
2930;BRASSCHAAT;Neen;Antwerpen
2940;Hoevenen;Ja;Antwerpen
2940;STABROEK;Neen;Antwerpen
2950;KAPELLEN;Neen;Antwerpen
2960;BRECHT;Neen;Antwerpen
2960;Sint-Job-In-'T-Goor;Ja;Antwerpen
2960;Sint-Lenaarts;Ja;Antwerpen
2970;'S Gravenwezel;Ja;Antwerpen
2970;SCHILDE;Neen;Antwerpen
2980;Halle;Ja;Antwerpen
2980;ZOERSEL;Neen;Antwerpen
2990;Loenhout;Ja;Antwerpen
2990;WUUSTWEZEL;Neen;Antwerpen
3000;LEUVEN;Neen;Vlaams-Brabant
3001;Heverlee;Ja;Vlaams-Brabant
3010;Kessel Lo;Ja;Vlaams-Brabant
3012;Wilsele;Ja;Vlaams-Brabant
3018;Wijgmaal;Ja;Vlaams-Brabant
3020;HERENT;Neen;Vlaams-Brabant
3020;Veltem-Beisem;Ja;Vlaams-Brabant
3020;Winksele;Ja;Vlaams-Brabant
3040;HULDENBERG;Neen;Vlaams-Brabant
3040;Loonbeek;Ja;Vlaams-Brabant
3040;Neerijse;Ja;Vlaams-Brabant
3040;Ottenburg;Ja;Vlaams-Brabant
3040;Sint-Agatha-Rode;Ja;Vlaams-Brabant
3050;OUD-HEVERLEE;Neen;Vlaams-Brabant
3051;Sint-Joris-Weert;Ja;Vlaams-Brabant
3052;Blanden;Ja;Vlaams-Brabant
3053;Haasrode;Ja;Vlaams-Brabant
3054;Vaalbeek;Ja;Vlaams-Brabant
3060;BERTEM;Neen;Vlaams-Brabant
3060;Korbeek-Dijle;Ja;Vlaams-Brabant
3061;Leefdaal;Ja;Vlaams-Brabant
3070;KORTENBERG;Neen;Vlaams-Brabant
3071;Erps-Kwerps;Ja;Vlaams-Brabant
3078;Everberg;Ja;Vlaams-Brabant
3078;Meerbeek;Ja;Vlaams-Brabant
3080;Duisburg;Ja;Vlaams-Brabant
3080;TERVUREN;Neen;Vlaams-Brabant
3080;Vossem;Ja;Vlaams-Brabant
3090;OVERIJSE;Neen;Vlaams-Brabant
3110;ROTSELAAR;Neen;Vlaams-Brabant
3111;Wezemaal;Ja;Vlaams-Brabant
3118;Werchter;Ja;Vlaams-Brabant
3120;TREMELO;Neen;Vlaams-Brabant
3128;Baal;Ja;Vlaams-Brabant
3130;BEGIJNENDIJK;Neen;Vlaams-Brabant
3130;Betekom;Ja;Vlaams-Brabant
3140;KEERBERGEN;Neen;Vlaams-Brabant
3150;HAACHT;Neen;Vlaams-Brabant
3150;Tildonk;Ja;Vlaams-Brabant
3150;Wespelaar;Ja;Vlaams-Brabant
3190;BOORTMEERBEEK;Neen;Vlaams-Brabant
3191;Hever;Ja;Vlaams-Brabant
3200;AARSCHOT;Neen;Vlaams-Brabant
3200;Gelrode;Ja;Vlaams-Brabant
3201;Langdorp;Ja;Vlaams-Brabant
3202;Rillaar;Ja;Vlaams-Brabant
3210;Linden;Ja;Vlaams-Brabant
3210;LUBBEEK;Neen;Vlaams-Brabant
3211;Binkom;Ja;Vlaams-Brabant
3212;Pellenberg;Ja;Vlaams-Brabant
3220;HOLSBEEK;Neen;Vlaams-Brabant
3220;Kortrijk-Dutsel;Ja;Vlaams-Brabant
3220;Sint-Pieters-Rode;Ja;Vlaams-Brabant
3221;Nieuwrode;Ja;Vlaams-Brabant
3270;Scherpenheuvel;Ja;Vlaams-Brabant
3270;SCHERPENHEUVEL-ZICHEM;Neen;Vlaams-Brabant
3271;Averbode;Ja;Vlaams-Brabant
3271;Zichem;Ja;Vlaams-Brabant
3272;Messelbroek;Ja;Vlaams-Brabant
3272;Testelt;Ja;Vlaams-Brabant
3290;Deurne;Ja;Vlaams-Brabant
3290;DIEST;Neen;Vlaams-Brabant
3290;Schaffen;Ja;Vlaams-Brabant
3290;Webbekom;Ja;Vlaams-Brabant
3293;Kaggevinne;Ja;Vlaams-Brabant
3294;Molenstede;Ja;Vlaams-Brabant
3300;Bost;Ja;Vlaams-Brabant
3300;Goetsenhoven;Ja;Vlaams-Brabant
3300;Hakendover;Ja;Vlaams-Brabant
3300;Kumtich;Ja;Vlaams-Brabant
3300;Oorbeek;Ja;Vlaams-Brabant
3300;Oplinter;Ja;Vlaams-Brabant
3300;Sint-Margriete-Houtem;Ja;Vlaams-Brabant
3300;TIENEN;Neen;Vlaams-Brabant
3300;Vissenaken;Ja;Vlaams-Brabant
3320;HOEGAARDEN;Neen;Vlaams-Brabant
3320;Meldert;Ja;Vlaams-Brabant
3321;Outgaarden;Ja;Vlaams-Brabant
3350;Drieslinter;Ja;Vlaams-Brabant
3350;LINTER;Neen;Vlaams-Brabant
3350;Melkwezer;Ja;Vlaams-Brabant
3350;Neerhespen;Ja;Vlaams-Brabant
3350;Neerlinter;Ja;Vlaams-Brabant
3350;Orsmaal-Gussenhoven;Ja;Vlaams-Brabant
3350;Overhespen;Ja;Vlaams-Brabant
3350;Wommersom;Ja;Vlaams-Brabant
3360;BIERBEEK;Neen;Vlaams-Brabant
3360;Korbeek-Lo;Ja;Vlaams-Brabant
3360;Lovenjoel;Ja;Vlaams-Brabant
3360;Opvelp;Ja;Vlaams-Brabant
3370;BOUTERSEM;Neen;Vlaams-Brabant
3370;Kerkom;Ja;Vlaams-Brabant
3370;Neervelp;Ja;Vlaams-Brabant
3370;Roosbeek;Ja;Vlaams-Brabant
3370;Vertrijk;Ja;Vlaams-Brabant
3370;Willebringen;Ja;Vlaams-Brabant
3380;Bunsbeek;Ja;Vlaams-Brabant
3380;GLABBEEK;Neen;Vlaams-Brabant
3381;Kapellen;Ja;Vlaams-Brabant
3384;Attenrode;Ja;Vlaams-Brabant
3390;Houwaart;Ja;Vlaams-Brabant
3390;Sint-Joris-Winge;Ja;Vlaams-Brabant
3390;Tielt;Ja;Vlaams-Brabant
3390;TIELT-WINGE;Neen;Vlaams-Brabant
3391;Meensel-Kiezegem;Ja;Vlaams-Brabant
3400;Eliksem;Ja;Vlaams-Brabant
3400;Ezemaal;Ja;Vlaams-Brabant
3400;Laar;Ja;Vlaams-Brabant
3400;LANDEN;Neen;Vlaams-Brabant
3400;Neerwinden;Ja;Vlaams-Brabant
3400;Overwinden;Ja;Vlaams-Brabant
3400;Rumsdorp;Ja;Vlaams-Brabant
3400;Wange;Ja;Vlaams-Brabant
3401;Waasmont;Ja;Vlaams-Brabant
3401;Walsbets;Ja;Vlaams-Brabant
3401;Walshoutem;Ja;Vlaams-Brabant
3401;Wezeren;Ja;Vlaams-Brabant
3404;Attenhoven;Ja;Vlaams-Brabant
3404;Neerlanden;Ja;Vlaams-Brabant
3440;Budingen;Ja;Vlaams-Brabant
3440;Dormaal;Ja;Vlaams-Brabant
3440;Halle-Booienhoven;Ja;Vlaams-Brabant
3440;Helen-Bos;Ja;Vlaams-Brabant
3440;ZOUTLEEUW;Neen;Vlaams-Brabant
3450;GEETBETS;Neen;Vlaams-Brabant
3450;Grazen;Ja;Vlaams-Brabant
3454;Rummen;Ja;Vlaams-Brabant
3460;Assent;Ja;Vlaams-Brabant
3460;BEKKEVOORT;Neen;Vlaams-Brabant
3461;Molenbeek-Wersbeek;Ja;Vlaams-Brabant
3470;KORTENAKEN;Neen;Vlaams-Brabant
3470;Ransberg;Ja;Vlaams-Brabant
3470;Sint-Margriete-Houtem;Ja;Vlaams-Brabant
3471;Hoeleden;Ja;Vlaams-Brabant
3472;Kersbeek-Miskom;Ja;Vlaams-Brabant
3473;Waanrode;Ja;Vlaams-Brabant
3500;HASSELT;Neen;Limburg
3500;Sint-Lambrechts-Herk;Ja;Limburg
3501;Wimmertingen;Ja;Limburg
3510;Kermt;Ja;Limburg
3510;Spalbeek;Ja;Limburg
3511;Kuringen;Ja;Limburg
3511;Stokrooie;Ja;Limburg
3512;Stevoort;Ja;Limburg
3520;ZONHOVEN;Neen;Limburg
3530;Helchteren;Ja;Limburg
3530;Houthalen;Ja;Limburg
